series,m,n,algorithm,seed,elapsed_s,raw_fitness,fitness_display,potency,operativeness,resource_saving,max_k,constraint_satisfied,has_layout,raw_fitness_s0,potency_s0,operativeness_s0,resource_saving_s0,delta_f_vs_s0,delta_p_vs_s0,delta_o_vs_s0,delta_r_vs_s0,brute_force_available,omega_size,delta_f_vs_brute_force
feasible,5,1,NSGA-II,0,2.4710591990005923,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,BruteForce,0,0.008818279005936347,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,GA,0,0.5886702659990988,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,HillClimb,0,0.022742456996638793,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,PSO,0,0.9184889600001043,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Random,0,0.12113832400063984,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Greedy,0,0.008735339004488196,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,SA,0,0.18952800999977626,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Tabu,0,0.4888379350013565,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,ACO,0,0.6888946540057077,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
