series,M,N,algorithm,repeats,runs_with_layout,t_cpu_mean_s,t_cpu_std_s,raw_fitness_mean,raw_fitness_std,delta_f_vs_s0_mean,delta_f_vs_s0_std,delta_f_vs_brute_force_mean,delta_f_vs_brute_force_std,brute_force_available,omega_size,constraint_pass_rate
feasible,5,1,NSGA-II,10,10,2.4470823931995254,0.11567652180086761,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,BruteForce,10,10,0.009550872699765022,0.0011747964511620867,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,GA,10,10,0.5847435703013616,0.0627066537890414,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,HillClimb,10,10,0.021041665200755233,0.003376384454719787,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,PSO,10,10,0.9355473658004485,0.08919838168588073,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,Random,10,10,0.12467029570034356,0.012257435472740507,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,Greedy,10,10,0.008779104999121046,0.0010061296016739471,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,SA,10,10,0.18660019419985474,0.018403554850759056,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,Tabu,10,10,0.4832074177000322,0.051587543030479174,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,5,1,ACO,10,10,0.7126461851017666,0.0827389270308442,0.031819591230794884,0.0,0.007220169582452758,0.0,0.0,0.0,True,16,1.0
feasible,10,2,NSGA-II,10,10,5.11011459569927,0.28195523355862123,0.00027209585308401166,0.0,0.00015730298027164435,0.0,0.0,0.0,True,5632,1.0
feasible,10,2,BruteForce,10,10,7.745605758099555,0.4400661324004551,0.00027209585308401166,0.0,0.00015730298027164435,0.0,0.0,0.0,True,5632,1.0
feasible,10,2,GA,10,10,1.3042750630993396,0.03811294202449635,0.00027209585308401166,0.0,0.00015730298027164435,0.0,0.0,0.0,True,5632,1.0
feasible,10,2,HillClimb,10,10,0.10474685000008321,0.007537216370342803,0.00027201479794442966,1.3051117387758195e-07,0.00015722192513206232,1.3051117387758195e-07,-8.105513958203475e-08,1.3051117387758195e-07,True,5632,1.0
feasible,10,2,PSO,10,10,2.2155694824999954,0.13325482584497741,0.00027209585308401166,0.0,0.00015730298027164435,0.0,0.0,0.0,True,5632,1.0
feasible,10,2,Random,10,10,0.287394932800089,0.019778615711621015,0.00026655822828183004,5.462739578618002e-06,0.00015176535546946272,5.462739578618002e-06,-5.5376248021816455e-06,5.462739578618002e-06,True,5632,1.0
feasible,10,2,Greedy,10,10,0.05406873760002782,0.004659533718390644,0.00027209585308401166,0.0,0.00015730298027164435,0.0,0.0,0.0,True,5632,1.0
feasible,10,2,SA,10,10,0.4368625624993001,0.05365561550691606,0.0002489111651809292,2.282412735770546e-05,0.0001341182923685619,2.282412735770546e-05,-2.3184687903082472e-05,2.2824127357705457e-05,True,5632,1.0
feasible,10,2,Tabu,10,10,2.9655394271001567,0.14222283752367512,0.00027209585308401166,0.0,0.00015730298027164435,0.0,0.0,0.0,True,5632,1.0
feasible,10,2,ACO,10,10,1.4650861380992866,0.09565993193116969,0.00015903947299909126,0.0,4.424660018672395e-05,0.0,-0.0001130563800849204,0.0,True,5632,1.0
feasible,20,3,NSGA-II,10,10,8.637514704300703,0.5600408428873997,0.007376920877210954,3.593085092498559e-06,0.04310770296154163,3.5930850924973024e-06,,,False,946176,1.0
feasible,20,3,BruteForce,10,0,1.28114981635008e-05,1.4986090046367636e-06,,,,,,,False,946176,
feasible,20,3,GA,10,10,2.375434754700109,0.17275830877877194,0.007376177037928719,3.841169536472733e-06,0.04310695912225939,3.841169536471389e-06,,,False,946176,1.0
feasible,20,3,HillClimb,10,10,0.49624231509951644,0.1644785234108137,0.007357877880388446,4.994088270010394e-05,0.043088659964719125,4.994088270010321e-05,,,False,946176,1.0
feasible,20,3,PSO,10,10,3.9107369142991955,0.2689094706767955,0.007348604130969552,9.660209308275755e-05,0.043079386215300226,9.660209308275672e-05,,,False,946176,1.0
